video_name,text_data
10000000_1071423140417897_4191452268636051497_n.mp4," Ooh, ooh. Ooh. Ooh. Ooh. Ooh. Ooh. Ah! I feel like she's hitting me in the face. Why? Why? Why so hard? Why so aggressive? Ah! Uh-huh. I feel much."
10000000_1078992059634341_4945445177629747503_n.mp4," Who would have been able to just launch her new 14-hour luminous matte concealer? So we're gonna see how it works and if anything shades match me. So these are the three colors that I was saying. This is the three shades match. I feel like I'm in between maybe even just this one. I'm not sure. We're gonna see right now. Also, I wanted to show you guys, I love the way the applicator is. It applies it so smooth and also thick, which I really like. I have a darker foundation on today, so I'm gonna go with an in-between shade. This is how we're rocking the concealer today. Now let's blend it out. You guys, look at the way this one's out. Look at how pretty. Ah! Stop! This looks so pretty. I'm gonna finish the rest of my makeup and I'm gonna test it and see if it does last the 14 hours. But oh my god. It is currently 208 and you guys, my skin looks so good. I'm gonna see if it lasts 14 hours. I'm gonna finish my makeup. Go out to dinner, go and do the things that people do in Vegas and then I'm gonna come back and give you guys an update. It is, it is 4444 and this is what our foundation is looking like. You guys, it's just looking really good. I'm gonna come back once I'm done with dinner. Well, it is 1146 and I've cried a million times and my concealer is still looking really amazing. So, 10 out 10, recommend."
10000000_1114713135771759_4881674818147287528_n.mp4," Okay guys, I saw the craziest video on TikTok. I don't know if it's to get to be true. We're gonna try this. So I'm gonna take a little micellar water and I am going to just completely soak up the micellar water. Okay, I'm going to be using this teal shade and we're gonna create a little liner. Oh wow. Wow, the intensity of that is really incredible. It's also really smooth when it applies. Okay, should we try this with another color? Let's try a lighter shade too. Okay. Okay, that works really well. I feel like micellar water might be like the new mixing liquid. It's really cool. I try this. I do. Oh my god. Look how intense that is. I can't get over it. Wow. Ooh. Ooh. I love one hacks work. Alright, I'm gonna try another shade as well because this is too good. I'm under this lime green shade right here. Oh yeah, come to mama. So I'm just gonna go on top and do a thin line now. Oh my god. Why are we just discovering this now? Put a little mascara on to finish this. We do a blue mascara. Oh wow guys, I can't believe how well that worked. That was so easy. We actually put a cake liner in the palette but apparently all you need is micellar water. So good. So good. I'm impressed."
10000000_1127338347828838_9179929646205416499_n.mp4," These DIY skip care balls are amazing. Jia mi x clay Ah.. I can literally see my pores have closed up. Oh my god, it is incredible. I'm gonna do make a little mess so you wanna make sure you have towels on standby. But oh, my god. Every morning, yes. This can care balls to the rescue."
10000000_1192176628229967_3592837693407388118_n.mp4, Obviously they're rare.
10000000_1233480343731581_4791784567951799725_n.mp4," Hey beautiful people, so today we have something very exciting to share with you. You guys know how much I believe in this product. I can go without it. And it's really exciting because today we're going to reveal one of my favorite versions of this in the entire world. I'm really excited to show you this. So I'm going to show you guys our new Lifeliner Quick and Easy. Okay, first of all, it is the easiest liner I have ever used in my entire life. I've even seen beginners in our company who don't wear eyeliner. Do the perfect cat eye with this. It is so easy to use. The brush applicator is super fine. It also has like a constant flow. So no matter what you do, you're always going to continuously get that flow. And I love it. I love it so much. It also lasts super long too because for me, that's really, really, really important. The application actually is so fine. You can actually even create little hairs with it. It's that easy. So I'm really excited. I know a lot of people who want to use eyeliner, but struggle with or maybe a little intimidated by it. This is going to be the liner that's going to be the one to give them the cat eye, the flick, the liner of their dreams. I just know it. Alright, let's get into the facts. It's super long lasting all day wear, waterproof, transfer proof, smudge proof, sweat proof, flake proof. It does not bleed and it's super easy to remove. This is going to be your favorite new liner. So you can see here the tip is so, so, so fine. It's so tiny and this is going to give you really precise application. So if you're somebody who wants to do a liner really quick and maybe you're a little bit scared, this is going to be really easy to use. If you're somebody who's going to want to do some really fine art, some very graphic liner, you're going to love this. So we're going to get into application right now. I'm going to go ahead and start. We're going to do really simple, classic liner, the easiest liner you could ever imagine. And what I'm going to do is I'm basically going to look at my bottom water line here and I'm going to continue that as if it's going to continue going. So that's going to give me kind of the angle that I need to take. And I'm taking that. And because this is so fine, you can just do little tiny strokes. You don't need to go and do that one little line. You can actually kind of do these little tiny strokes. What I always like to do after I do this is I like to do the next eye too. So this way I have the same kind of line and I can make sure that it looks similar. I'm going to do it before and after. So I'm not going to do it right now so you guys can see. But typically what I do is I do one eye here and I would match that on the other eye. One thing as well if you want a more lifted eye what you can do is instead of going right at the water line, you can go right above it the way I have here. So I always like to lift my eyes. So I actually don't go at the water line and go right above it. So it's the corner where my upper lid kind of begins. I like a pretty thick liner. If you don't necessarily like a thick liner, then you can definitely adjust the rules for you. But since I like a thicker liner, I'm going to go ahead and I'm looking in the mirror. I'm looking straight and I'm looking to where my iris kind of begins. And now I'm going to go ahead and connect that. So that's giving me a little bit of a little triangle. So I'm going to go ahead and I'm going to fill this in now. This is a simple application. If you want to apply thicker liner, I usually always apply thicker liner. You can do that too. I just want to ahead. I'm filling this in. I'm going to make sure that looks really good. All right. I finished my wing. And I usually what I do is I will go a smidge below the turtleneck and I'll put like a little dot. And that's going to be what I'm going to continue and I'm going to connect. And a lot of people like to go farther inner towards their nose. I don't like to do that. I like to go lower and I feel like it makes my eyes look a little bit more almond and a little bit more lifted. So I'm going down and I'm just going to go ahead. I'm drawing this really tiny line here and then I'm going to point it out. I'm going to do the point first before I draw it out. There we go. I'm going to lay the pen right on top of my lid here and again, really small strokes. And I'm connecting this corner here with the inner corner. And if you want, you can connect them. You can connect the outer line with the inner liner. But also it's not necessary. So you can see I went ahead and finished this eye really easy, super, super simple. This would normally take me just a couple of minutes to do and you can see the difference in my eye. I'm going to actually definitely apply some mascara. And if you want just a couple lashes on the outer corner, but you can see the difference in my eye. My eye looks lifted. It looks bigger. It makes me feel sexy, which is the most important thing. So this is using our new lifeliner quick and easy. And I'm going to finish it on this side. Although some days I wear different makeup on different eyes, but today is not the day. I'm going to go ahead and finish this eye off camera and then I'm also going to apply a little mascara and I'll be back to show you guys a final look. Okay guys, so this is the final look, a really simple wing liner, a little bit in the corner. I put some legit lashes mascara as well as a couple of lashes here on the outer corner. And I am loving this look. This is a really easy daytime look. It could be nighttime for some people as well for me, maybe not so much. And if I were to choose only three products to use for the rest of my life, this would definitely be one of them. I can't wait for you guys to try this. I hope you guys enjoyed the video. Do not be afraid to use liner because you guys are going to love this one. This is going to make your life so much easier and I can't wait to see you guys later. Love you guys."
10000000_1292541971240972_6930829173047575674_n.mp4," Okay guys, I'm gonna be testing out this hack. I've seen it on the internet and I wanna know if this is a hack or hype. Okay guys, I'm gonna be testing out this hack. I've seen it on the internet and I wanna know if this is a hack or hype. Okay, okay, take a look. I wanna see you."
10000000_131630438936713_7197174224915193427_n.mp4," This was Halloween singing La La La La Everyday is Friday night I hate out of mind And I'm a side Kiss me, hug me Holy time singing La La La La Let me take you in through the back door Let me show you the shame we won Everybody go round and round Get busy on the swing and shown Let's have a cool afternoon"
10000000_1338554746605802_4463129362423013463_n.mp4," Are we ready for this? The new HUWD palette rose boards is here. So the packaging is absolutely beautiful and this is how the palette looks from inside. There we have some pinks going on, we have a lot of pigments and stuff and some people were saying that it's similar to naughty palette but I would have to disagree because here's the naughty palette and here's the new rose boards palette and I feel like the storyline is their friends, some of the shades may look similar but those are transition shades and it kind of makes sense to always have those warm browns in it in the palette but now we are going to try this over here. The first shade I'm going to grab is gratitude and I'm going to put that in my crease to act as my transition shade. It has a pink undertone to it but it's like a matte finish and it looks really nice and subtle. It's not too shong, there's not a lot of fallout happening so I'm happy about that and I can't wait to try the pigments because I heard in this palette there's a lot of new formulas for the pigments itself. I finished it all with the matte, I am going to grab this shade and I'm going to do first with my finger just to kind of see who this looks so pretty. Why? And I'm going to also try it, oh my god, this is literally studying and it just applies like butter. There is no fallouts. This is absolutely beautiful, oh my god. On this side I'm going to try it with a little brush as well just because I want to see if it applies with the brush. It does but the payoff is definitely much better with a finger so figure it is. Final look, honestly I am so happy with the pigments, I swatched the other ones. The payoff is insane, I would literally buy this palette just because of the pigments I swear. It is so so pretty, no fallouts. The matte kind of makes sense because they get along with the pigments that you're going to be using. Honestly it is so pretty and the whole storyline kind of makes sense with the whole squirrels vibe and the packaging and stuff so I don't know what do you guys think."
10000000_1339883983192332_8184376396013193869_n.mp4," If you wear makeup, watch. Change your whole routine and try this instead. Moisturize first. Then after moisturizing, take some translucent powder. I usually use the fit me one and I just lightly dab it all over my face. Not too much. Then take some setting spray. Could be any setting spray. I usually use the NYX one. After the setting spray, take a primer and just put your primer. Also, wait for the setting spray to dry first. Then just put on your foundation and just see what happens. How amazing your makeup is going to look. It's going to stay on 24-7 and it's not going to crease. It's a technique that's probably still used by so many other people. I heard that it's been used for a long time. I just found out about it and honestly look. I don't have the beautiful turon. Try it on you and let me know if it works."
10000000_135797759024531_502748559229861092_n.mp4," I wanted to do a tutorial using our Color Buck palette, but I wanted to use two tones of purple. I'm gonna start out using our Chin Lift, and I'm going to be using these Rose Quartz facial massaging tools to get a little bit of drainage and make sure my jaw is super snatched. I'm also gonna be using our eyelift patches, gonna help me with any fallout while I'm creating this look. I'm grabbing a medium shade purple and putting it all over the crease and the brow bone, and then I'm gonna clean up the edges to create a really nice defined shadow. I'm going to use a lighter purple all over the lid and I'm really packing that on. I'm gonna use the cake liner to create a really beautiful eye line and to go in there and really define the two different shades. And now let's start with the complexion, applying one of my favorite primers foundation, going in with a little concealer. I'm gonna bake, finish the rest of my look, and this is it. What do you guys think? Absolutely love this look."
10000000_1396121807475923_8581933453714659152_n.mp4," Name a bigger complexion stand than me, spoiler alert, you can't. Huda Beauty just launched the hashtag foful filter concealer. This is my first time trying it. So I have three shades that they sent me and we're going to swatch them and test them now. This is what brittle looks like on my complexion, so it's a little light. I think maybe two light from my light. So the next shade is peanut butter. This is peanut butter right here, and this is butter scotch. Look at what the swatches on the website, and I think peanut butter is going to be an okay shade, but I honestly feel like I'm somewhere in between crumble and salted caramel. I'm going to try to see if I can make peanut butter work. I think it's the closest the best I can do right now. And I'm not color correcting because I want to see what this does on its own. While I blend this out, I'm going to read some stats. It's described as luminous matte and a skin like finish, which I can definitely see. I'm not going to lie so far. I'm not really mad at the coverage. And that blended out real fast, and I'm not going to lie. I'm quite surprised as I pull away how not stand out is like this looks like my skin. I usually expect matte like products to not look like this seamless on my bare complexion because I'm not wearing any foundation. It's just my bare skin. This actually looks really, this actually looks really good. Your girl loves coverage. I'm going to add just a little bit more. Oh, no concealer, concealer. I'm going to do full face, and then come back into my eye. I'm not going to lie, but I see so far. I mean, I'm just being honest. Okay, I'm done. And so far, I like what I see. I'm actually surprised with the coverage. I'm not going to lie. I rarely get this good coverage without correcting first. I'll check back in in a few hours, but so far. I'm not mad."
