vid_id,sent_text,sent_idx,topic_idx
0,I feel like she's hitting me in the face.,7,-1
1,Who would have been able to just launch her new 14-hour luminous matte concealer?,0,26
1,So we're gonna see how it works and if anything shades match me.,1,1
1,So these are the three colors that I was saying.,2,1
1,This is the three shades match.,3,-1
1,I feel like I'm in between maybe even just this one.,4,5
1,"Also, I wanted to show you guys, I love the way the applicator is.",7,-1
1,"It applies it so smooth and also thick, which I really like.",8,0
1,"I have a darker foundation on today, so I'm gonna go with an in-between shade.",9,1
1,This is how we're rocking the concealer today.,10,26
1,"You guys, look at the way this one's out.",12,9
1,I'm gonna finish the rest of my makeup and I'm gonna test it and see if it does last the 14 hours.,17,0
1,"It is currently 208 and you guys, my skin looks so good.",19,-1
1,I'm gonna see if it lasts 14 hours.,20,0
1,"Go out to dinner, go and do the things that people do in Vegas and then I'm gonna come back and give you guys an update.",22,-1
1,"It is, it is 4444 and this is what our foundation is looking like.",23,-1
1,"You guys, it's just looking really good.",24,9
1,I'm gonna come back once I'm done with dinner.,25,-1
1,"Well, it is 1146 and I've cried a million times and my concealer is still looking really amazing.",26,26
2,"Okay guys, I saw the craziest video on TikTok.",0,20
2,I don't know if it's to get to be true.,1,36
2,So I'm gonna take a little micellar water and I am going to just completely soak up the micellar water.,3,0
2,"Okay, I'm going to be using this teal shade and we're gonna create a little liner.",4,7
2,"Wow, the intensity of that is really incredible.",6,5
2,It's also really smooth when it applies.,7,-1
2,"Okay, should we try this with another color?",8,1
2,Let's try a lighter shade too.,9,1
2,I feel like micellar water might be like the new mixing liquid.,12,-1
2,"Alright, I'm gonna try another shade as well because this is too good.",23,1
2,I'm under this lime green shade right here.,24,1
2,So I'm just gonna go on top and do a thin line now.,26,-1
2,Why are we just discovering this now?,28,-1
2,Put a little mascara on to finish this.,29,0
2,"Oh wow guys, I can't believe how well that worked.",31,21
2,We actually put a cake liner in the palette but apparently all you need is micellar water.,33,7
3,These DIY skip care balls are amazing.,0,-1
3,I can literally see my pores have closed up.,2,16
3,"Oh my god, it is incredible.",3,-1
3,I'm gonna do make a little mess so you wanna make sure you have towels on standby.,4,-1
3,This can care balls to the rescue.,7,-1
5,"Hey beautiful people, so today we have something very exciting to share with you.",0,13
5,You guys know how much I believe in this product.,1,27
5,And it's really exciting because today we're going to reveal one of my favorite versions of this in the entire world.,3,13
5,I'm really excited to show you this.,4,13
5,So I'm going to show you guys our new Lifeliner Quick and Easy.,5,-1
5,"Okay, first of all, it is the easiest liner I have ever used in my entire life.",6,7
5,I've even seen beginners in our company who don't wear eyeliner.,7,0
5,Do the perfect cat eye with this.,8,0
5,It is so easy to use.,9,-1
5,The brush applicator is super fine.,10,17
5,It also has like a constant flow.,11,-1
5,"So no matter what you do, you're always going to continuously get that flow.",12,-1
5,"It also lasts super long too because for me, that's really, really, really important.",15,0
5,The application actually is so fine.,16,-1
5,You can actually even create little hairs with it.,17,28
5,"I know a lot of people who want to use eyeliner, but struggle with or maybe a little intimidated by it.",20,0
5,"This is going to be the liner that's going to be the one to give them the cat eye, the flick, the liner of their dreams.",21,7
5,"Alright, let's get into the facts.",23,-1
5,"It's super long lasting all day wear, waterproof, transfer proof, smudge proof, sweat proof, flake proof.",24,0
5,It does not bleed and it's super easy to remove.,25,3
5,This is going to be your favorite new liner.,26,7
5,"So you can see here the tip is so, so, so fine.",27,-1
5,It's so tiny and this is going to give you really precise application.,28,-1
5,"So if you're somebody who wants to do a liner really quick and maybe you're a little bit scared, this is going to be really easy to use.",29,7
5,"If you're somebody who's going to want to do some really fine art, some very graphic liner, you're going to love this.",30,7
5,So we're going to get into application right now.,31,-1
5,I'm going to go ahead and start.,32,2
5,"We're going to do really simple, classic liner, the easiest liner you could ever imagine.",33,7
5,And what I'm going to do is I'm basically going to look at my bottom water line here and I'm going to continue that as if it's going to continue going.,34,-1
5,So that's going to give me kind of the angle that I need to take.,35,-1
5,"And because this is so fine, you can just do little tiny strokes.",37,-1
5,You don't need to go and do that one little line.,38,38
5,You can actually kind of do these little tiny strokes.,39,-1
5,What I always like to do after I do this is I like to do the next eye too.,40,0
5,So this way I have the same kind of line and I can make sure that it looks similar.,41,-1
5,I'm going to do it before and after.,42,2
5,So I'm not going to do it right now so you guys can see.,43,9
5,But typically what I do is I do one eye here and I would match that on the other eye.,44,0
5,"One thing as well if you want a more lifted eye what you can do is instead of going right at the water line, you can go right above it the way I have here.",45,0
5,So I always like to lift my eyes.,46,0
5,So I actually don't go at the water line and go right above it.,47,38
5,So it's the corner where my upper lid kind of begins.,48,38
5,I like a pretty thick liner.,49,7
5,"If you don't necessarily like a thick liner, then you can definitely adjust the rules for you.",50,7
5,"But since I like a thicker liner, I'm going to go ahead and I'm looking in the mirror.",51,7
5,I'm looking straight and I'm looking to where my iris kind of begins.,52,0
5,And now I'm going to go ahead and connect that.,53,-1
5,So that's giving me a little bit of a little triangle.,54,-1
5,So I'm going to go ahead and I'm going to fill this in now.,55,2
5,"If you want to apply thicker liner, I usually always apply thicker liner.",57,7
5,I'm going to make sure that looks really good.,61,-1
5,And I usually what I do is I will go a smidge below the turtleneck and I'll put like a little dot.,64,-1
5,And that's going to be what I'm going to continue and I'm going to connect.,65,-1
5,And a lot of people like to go farther inner towards their nose.,66,22
5,I don't like to do that.,67,2
5,I like to go lower and I feel like it makes my eyes look a little bit more almond and a little bit more lifted.,68,0
